Name,Position,Country,Season/s,Team,Height,Wingspan,Reach,GP,GS,MPG,FGA,FGM,FG%,3PA,3PM,3P%,FT%,RPG,APG,SPG,BPG,PPG,TO,Fouls,Class
Karl-Anthony Towns,C,USA,1,Kentucky,6'11,7'-4'',9'-5'',39,39,21.1,256,145,0.566,8,2,0.25,0.813,6.7,1.1,0.5,2.3,10.3,1.4,2.9,Good
D'Angelo Russell,PG,USA,1,Ohio State,6'5,"6'-10""",8'-6'',35,35,33.9,515,231,0.449,231,95,0.411,0.756,5.7,5,1.6,0.3,19.3,2.9,2.1,Good
Jahlil Okafor,C,USA,1,Duke,6'11,7'-5'',9'-3'',32,32,30.1,420,279,0.644,0,0,0,0.51,8.5,1.3,0.8,1.4,17.3,2.5,2.1,Good
Kristaps Porzingis*,PF/C,,,,7'2,"7'-4""",,,,,,,,,,,,,,,,,,,Good
Mario Hezonja,SG/SF,Croatia,3,FC Barcelona,6'7,,,38,3,12.3,,,0.453,,,0.369,0.733,1.4,0.7,0.4,0.1,5.2,,,Average
Willey Caulley-Stein,PF,USA,3,Kentucky,7'1,"7'-3""","9'-3""",105,,24.4,583,346,0.593,0,0,0,0.508,6.2,0.6,1.1,2.2,8,1.2,2.3,Good
Emmanuel Mudiay*,PG,DR Congo,,Guangdong Southern Tigers,6'5,"8'-4""",,,,,,,,,,,,,,,,,,,Good
Stanley Johnson,SF,USA,1,Arizona,6'6,"7'-0""","8'-6""",38,38,28.4,390,174,0.446,116,43,0.371,0.742,6.5,1.7,1.5,0.4,13.8,2.2,2.6,Average
Frank Kaminsky,PF,USA,4,Wisconsin,7'1,"6'-11""","9'-2""",144,79,20.4,1013,529,0.522,279,103,0.369,0.763,4.6,1.3,0.5,1.1,10.1,0.8,1.6,Average
Justise Winslow,SF,USA,1,Duke,6'6,"6'-10""","8'-8""",39,39,29.1,356,173,0.486,110,46,0.418,0.641,6.5,2.1,1.3,0.9,12.6,1.8,2.8,Good
Myles Turner,C,USA,1,Texas,6'11,"7'-4""","9'-4""",34,7,22.2,257,117,0.455,62,17,0.274,0.839,6.5,0.6,0.3,2.6,10.1,1.4,2.4,Good
Trey Lyles,PF,USA,1,Kentucky,6'10,"7'-2""","9'-0""",36,21,23,240,117,0.488,29,4,0.138,0.735,5.2,1.1,0.5,0.4,8.7,1.1,1.6,Average
Devin Booker,SG,USA,1,Kentucky,6'6,"6'-8""","8'-5""",38,0,21.5,287,135,0.47,141,58,0.411,0.828,2,1.1,0.4,0.1,10,1,1.5,Good
Cameron Payne,PG,USA,2,Murray State,6'2,"6'-7""","8'-2""",69,,32.4,1007,435,0.432,434,156,0.359,0.781,3.7,5.7,1.8,0.5,18.5,2.9,2.4,Average
Kelly Oubre,SG,USA,1,Kansas,6'7,"7'-2""","8'-7""",36,,21,248,110,0.444,95,34,0.358,0.718,5,0.8,1.1,0.4,9.3,1.2,2,Average
Terry Rozier,PG,USA,2,Louisville,6'2,"6'-8""","8'-3""",73,45,26.8,753,307,0.408,254,84,0.331,0.772,4.3,2.4,1.5,0.1,12,1.4,1.6,Bad
Rashad Vaughn,SG,USA,1,UNLV,6'5,"6'-7""","8'-5""",23,23,32.3,328,144,0.439,141,54,0.383,0.694,4.8,1.6,0.8,0.3,17.8,2.2,2.3,Average
Sam Dekker,SF,USA,3,Wisconsin,6'9,"7'-0""","8'-10""",113,81,27.9,1011,499,0.494,408,142,0.348,0.695,5,1.3,0.6,0.5,12.1,1,1.2,Bad
Jerian Grant,PG,USA,4,Notre Dame,6'4,"6'-8""","8'-4""",119,,36.3,1276,556,0.436,519,179,0.345,0.79,2.9,5.8,1.5,0.3,14.6,2.2,1.8,Average
Delon Wright,PG,USA,2,Utah,6'6,"6'-8""","8'-6""",68,68,34.85,634,339,0.535,127,38,0.299,0.814,5.8,5.2,2.3,1.1,15,2.2,1.6,Bad
Justin Anderson,SF,USA,3,Virginia,6'6,"7'-0""","8'-5""",98,45,24.1,669,288,0.43,272,97,0.338,0.752,3.5,1.8,0.6,0.9,8.9,1.3,1.4,Average
Bobby Portis,PF,USA,2,Arkansas,6'11,"7'-2""","9'-1""",63,,28.45,782,411,0.526,63,23,0.365,0.737,8.7,1.5,1.2,1.7,16.6,1.5,2.2,Average
Rondae Hollis-Jefferson,SF,USA,2,Arizona,6'7,"7'-2""","8'-8""",76,31,27,522,259,0.496,39,8,0.205,0.697,6.25,1.5,0.9,0.9,10.2,1.4,2.4,Average
Tyus Jones,PG,USA,1,Duke,6'2,"6'-5""","8'-1""",33,33,33.9,324,135,0.417,124,47,0.379,0.889,3.5,5.6,1.5,0.1,11.8,1.9,1.2,Bad
Jarell Martin,PF,USA,2,LSU,6'9,"6'-9""","8'-11""",65,,30.65,654,323,0.494,133,41,0.308,0.689,6.9,1.4,1,0.7,13.7,2.2,2.6,Bad
Nikola Milutinov,C,Serbia,,Partizan Belgrade,6'11,,,,,,,,,,,,,,,,,,,,Bad
Larry Nance,PF,USA,4,Wyoming,6'9,"7'-2""","9'-0""",123,90,29.5,978,510,0.521,117,36,0.308,0.771,6.6,1.4,1.1,1.1,11.3,1.6,2.3,Average
R.J Hunter,SG,USA,3,Georgia State,6'6,"6'-11""","8'-8""",98,,34.6,1321,559,0.423,715,253,0.354,0.853,4.8,2.4,1.9,0.9,18.6,1.7,2.2,Bad
Chris McCullough,PF,USA,1,Syracuse,6'9,"7'-3""","9'-1""",16,,28.1,113,54,0.478,1,1,1,0.563,6.9,1.1,1.7,2.1,2.6,2.2,9.3,Bad
Kevon Looney ,PF,USA,1,UCLA,6'9,"7'-4""","9'-2""",36,,30.9,321,151,0.47,53,22,0.415,0.626,9.2,1.4,1.3,0.9,11.6,1.3,2.9,Bad
Cedi Osman*,SG/SF,Turkey,4,Anadolu Efes,6'6,,,,,,,,,,,,,,,,,,,,Average
Montrezl Harrell,PF,USA,3,Louisville,6'8,"7'-4""","9'-1""",112,,26.87,910,533,0.586,40,11,0.275,0.533,6.9,0.9,0.8,1.1,11.6,1.3,1.9,Average
Jordan Mickey,PF,USA,2,LSU,6'8,"7'-3""","8'-10""",65,,33.85,700,362,0.517,14,1,0.071,0.669,8.8,1.2,0.8,3.4,14,2.8,2.4,Bad
Anthony Brown,SF,USA,5,Stanford,6'7,"6'-11""","8'-6""",144,,26.9,1210,518,0.428,540,218,0.404,0.751,4.8,1.6,0.7,0.2,10.8,1.6,1.8,Bad
Willy Hernangomez*,C,Spain,,Baloncesto Sevilla,6'11,"7'-2""","9'-1""",,,,,,,,,,,,,,,,,,Average
Rakeem Christmas,PF/C,USA,4,Syracuse,6'10,"7'-5""","9'-3""",142,140,22.55,734,409,0.557,1,0,0,0.681,5.2,0.6,0.5,1.7,7.4,1.1,2.6,Bad
Richaun Holmes,SF/PF,USA,3,Bowling Green,6'10,"7'-2""","9'-0""",95,,26.53,728,403,0.554,85,30,0.353,0.697,6.9,0.7,0.8,2.6,11.5,1.5,2.5,Average
Darrun Hilliard,SG,USA,4,Villanova,6'6,"6'-8""",,132,,26.48,1125,491,0.436,569,209,0.367,0.748,3,1.9,1.3,0.4,11.4,1.6,2.1,Average
Juan Pablo Vaulet*,SF,Argentina,,Estudiantes de Bahia,6'6,,,,,,,,,,,,,,,,,,,,Bad
Josh Richardson,SG,USA,4,Tennessee,6'6,"6'-10""",,136,,28.3,1005,458,0.456,308,98,0.318,0.758,3.2,1.8,1.1,0.6,9.2,1.5,2.2,Average
Pat Connaughton ,SF,USA,4,Notre Dame,6'5,"6'-9""","8'-4""",139,,32.25,1145,515,0.45,695,268,0.386,0.777,5.9,1.8,0.7,0.5,10.5,1,1.7,Bad
Oliver Hanlan,PG,Canada,3,Boston College,6'4,"6'-6""","8'-4""",97,,36.03,1246,564,0.453,487,176,0.361,0.778,3.9,3.1,1.1,0.1,17.8,2.4,2.2,Bad
Joseph Young,PG,USA,4,Oregon,6'2,"6'-5""","7'-11""",132,,32.68,1718,778,0.453,739,288,0.39,0.886,3.3,2.7,1,0.1,17.5,1.7,1.5,Average
Andrew Harrison ,PG,USA,2,Kentucky,6'6,"6'-9""","8'-4""",79,,28.6,597,222,0.372,188,69,0.367,0.785,2.7,3.8,0.8,0.2,10.1,2.2,2.4,Average
Marcus Thornton,PG,USA,4,William & Marry,6'3,"6'-8""","8'-2""",127,107,34.1,1649,709,0.43,809,325,0.402,0.789,2.6,2.4,0.7,0.2,17.1,2.6,1.5,Bad
Norman Powell,SG,USA,4,UCLA,6'4,"6'-11""","8'-7""",141,,25.05,1090,503,0.461,354,111,0.314,0.746,3,1.5,1.1,0.4,9.8,1.3,2,Average
Arturas Gudaitis*,C,Lithuania,2,Zalgiris Kaunas,6'10,,,,,,,,,,,,,,,,,,,,Bad
Dakari Johnson,C,USA,2,Kentucky,7'0,"7'-2""","9'-4""",78,,15.2,300,161,0.537,0,0,0,0.559,4.3,0.5,0.3,0.8,5.8,0.9,1.9,Bad
Aaron White,PF,USA,4,Iowa,6'9,"7'-0""","8'-11""",140,,28.15,1142,590,0.517,217,61,0.281,0.773,6.4,1.4,1.1,0.6,13.3,1.5,1.6,Bad
Marcos Eriksson*,SG,Sweden,5,FC Barcelona,6'7,,,,,,,,,,,,,,,,,,,,Bad
Tyler Harvey,PG,USA,3,Eastern Washington,6'4,"6'-6""","8'-3""",84,,29.43,1066,594,0.557,602,260,0.431,0.847,3.5,2.3,1,0.2,18.6,1.8,1.9,Bad
Satnam Singh Bhamara*,C,India,,IMG Academy,7'2,,,,,,,,,,,,,,,,,,,,Bad
sir Dominic Pointer,SF,USA,4,St. Johns,6'6,,,132,,28.13,857,410,0.478,110,22,0.2,0.677,5.3,2.3,1.5,1.3,8.3,1.7,2.8,Bad
Dani Diez*,SF,Spain,,Gipuzkoa Basket,6'9,"6'-6""","8'-6""",,,,,,,,,,,,,,,,,,Bad
Cady Lalane,PF,Haiti,4,Massachusetts,6'10,"7'-3""",,111,,23.75,767,424,0.553,47,10,0.266,0.666,7.9,0.2,0.4,1.8,9.8,1.9,2.5,Bad
Branden Dawson,SF,USA,4,Michigan State,6'7,"6'-11""","8'-9""",130,121,26.6,1013,566,0.559,9,0,0,0.558,6.9,1.4,1.3,1.1,10.1,1.7,1.6,Bad
Nikola Radicevic*,PG,Serbia,,Baloncesto Sevilla,6'4,,,,,,,,,,,,,,,,,,,,Bad
J.P Tokoto,SG/SF,USA,3,North Carolina,6'6,"6'-10""","8'-5""",107,,22.13,617,285,0.462,79,21,0.266,0.544,4.4,2.7,1.2,0.3,6.7,1.7,2,Bad
Dimitrios Agravanis*,PF,Greece,,Olympiacos,6'10,,,,,,,,,,,,,,,,,,,,Bad
Luka Mitrovic,PF,Serbia,2,Red Star Belgrade,6'8,,,31,25,19.3,,,0.419,,,0.15,0.765,4.6,1.65,0.7,0.25,6.1,,,Bad
